title,subtitle,arg
12-Bar Original,Instrumental / 1965 / Anthology 2,Instrumental / 1965 / Anthology 2
Across the Universe,Lennon / 1968 / Let It Be,Lennon / 1968 / Let It Be
Act Naturally,Starr / 1965 / UK: Help! US: Yesterday and Today,Starr / 1965 / UK: Help! US: Yesterday and Today
Ain't She Sweet,Lennon / 1961 / Anthology 1,Lennon / 1961 / Anthology 1
All I've Got to Do,Lennon / 1963 / UK: With the Beatles US: Meet the Beatles!,Lennon / 1963 / UK: With the Beatles US: Meet the Beatles!
All My Loving,McCartney / 1963 / UK: With the Beatles US: Meet the Beatles!,McCartney / 1963 / UK: With the Beatles US: Meet the Beatles!
All Things Must Pass,Harrison / 1969 / Anthology 3,Harrison / 1969 / Anthology 3
All Together Now,McCartney / 1967 / Yellow Submarine,McCartney / 1967 / Yellow Submarine
All You Need Is Love,Lennon / 1967 / Magical Mystery Tour,Lennon / 1967 / Magical Mystery Tour
And I Love Her,McCartney / 1964 / UK: A Hard Day's Night US: Something New,McCartney / 1964 / UK: A Hard Day's Night US: Something New
And Your Bird Can Sing,Lennon / 1966 / UK: Revolver US: Yesterday and Today,Lennon / 1966 / UK: Revolver US: Yesterday and Today
Anna (Go to Him),Lennon / 1963 / UK: Please Please Me US: The Early Beatles,Lennon / 1963 / UK: Please Please Me US: The Early Beatles
Another Girl,McCartney / 1965 / Help!,McCartney / 1965 / Help!
Any Time at All,Lennon / 1964 / UK: A Hard Day's Night US: Something New,Lennon / 1964 / UK: A Hard Day's Night US: Something New
Ask Me Why,Lennon / 1962 / UK: Please Please Me US: The Early Beatles,Lennon / 1962 / UK: Please Please Me US: The Early Beatles
Baby It's You,Lennon / 1963 / UK: Please Please Me US: The Early Beatles,Lennon / 1963 / UK: Please Please Me US: The Early Beatles
"Baby, You're a Rich Man",Lennon / 1967 / Magical Mystery Tour,Lennon / 1967 / Magical Mystery Tour
Baby's in Black,"Lennon, McCartney / 1964 / UK: Beatles for Sale US: Beatles '65","Lennon, McCartney / 1964 / UK: Beatles for Sale US: Beatles '65"
Back in the U.S.S.R.,McCartney / 1968 / The Beatles,McCartney / 1968 / The Beatles
Bad Boy,Lennon / 1965 / UK: A Collection of Beatles Oldies US: Beatles VI,Lennon / 1965 / UK: A Collection of Beatles Oldies US: Beatles VI
Bad to Me,Lennon / 1963 / The Beatles Bootleg Recordings 1963,Lennon / 1963 / The Beatles Bootleg Recordings 1963
The Ballad of John and Yoko,"Lennon, with McCartney / 1969 / UK: 1967–1970 US: Hey Jude","Lennon, with McCartney / 1969 / UK: 1967–1970 US: Hey Jude"
Beautiful Dreamer,McCartney / 1963 / On Air – Live at the BBC Volume 2,McCartney / 1963 / On Air – Live at the BBC Volume 2
Because,"Lennon, McCartney, Harrison / 1969 / Abbey Road","Lennon, McCartney, Harrison / 1969 / Abbey Road"
Because I Know You Love Me So,"Lennon, McCartney / 1969 / Let It Be... Naked - Fly on the Wall bonus disc","Lennon, McCartney / 1969 / Let It Be... Naked - Fly on the Wall bonus disc"
Being for the Benefit of Mr. Kite!,Lennon / 1967 / Sgt. Pepper's Lonely Hearts Club Band,Lennon / 1967 / Sgt. Pepper's Lonely Hearts Club Band
Bésame Mucho,McCartney / 1962 / Anthology 1,McCartney / 1962 / Anthology 1
Birthday,"McCartney, with Lennon / 1968 / The Beatles","McCartney, with Lennon / 1968 / The Beatles"
Blackbird,McCartney / 1968 / The Beatles,McCartney / 1968 / The Beatles
Blue Jay Way,Harrison / 1967 / Magical Mystery Tour,Harrison / 1967 / Magical Mystery Tour
Boys,Starr / 1963 / UK: Please Please Me US: The Early Beatles,Starr / 1963 / UK: Please Please Me US: The Early Beatles
Can't Buy Me Love,"McCartney, with Lennon / 1964 / UK: A Hard Day's Night US: Hey Jude","McCartney, with Lennon / 1964 / UK: A Hard Day's Night US: Hey Jude"
Carol,Lennon / 1963 / Live at the BBC,Lennon / 1963 / Live at the BBC
Carry That Weight,"McCartney, with Lennon, Harrison, and Starr / 1969 / Abbey Road","McCartney, with Lennon, Harrison, and Starr / 1969 / Abbey Road"
Catswalk,N/A / 1962 / N/A,N/A / 1962 / N/A
Cayenne,Instrumental / 1960 / Anthology 1,Instrumental / 1960 / Anthology 1
Chains,"Harrison, (with Lennon, McCartney) / 1963 / UK: Please Please Me US: The Early Beatles","Harrison, (with Lennon, McCartney) / 1963 / UK: Please Please Me US: The Early Beatles"
Child of Nature,Lennon / 1968 / Let It Be... Naked - Fly on the Wall bonus disc,Lennon / 1968 / Let It Be... Naked - Fly on the Wall bonus disc
Christmas Time (Is Here Again),"Lennon, McCartney, Harrison, Starr / 1967 / The Beatles' Christmas Album","Lennon, McCartney, Harrison, Starr / 1967 / The Beatles' Christmas Album"
Circles,Harrison / 1968 / ,Harrison / 1968 / 
Clarabella,McCartney / 1963 / Live at the BBC,McCartney / 1963 / Live at the BBC
Come and Get It,McCartney / 1969 / Anthology 3,McCartney / 1969 / Anthology 3
Come Together,Lennon / 1969 / Abbey Road,Lennon / 1969 / Abbey Road
The Continuing Story of Bungalow Bill,Lennon / 1968 / The Beatles,Lennon / 1968 / The Beatles
Cry Baby Cry,"Lennon, with McCartney / 1968 / The Beatles","Lennon, with McCartney / 1968 / The Beatles"
Cry for a Shadow,Instrumental / 1961 / Anthology 1,Instrumental / 1961 / Anthology 1
"Crying, Waiting, Hoping",Harrison / 1963 / Live at the BBC,Harrison / 1963 / Live at the BBC
A Day in the Life,"Lennon, McCartney / 1967 / Sgt. Pepper's Lonely Hearts Club Band","Lennon, McCartney / 1967 / Sgt. Pepper's Lonely Hearts Club Band"
Day Tripper,"Lennon, McCartney / 1965 / UK: A Collection of Beatles Oldies US: Yesterday and Today","Lennon, McCartney / 1965 / UK: A Collection of Beatles Oldies US: Yesterday and Today"
Dear Prudence,Lennon / 1968 / The Beatles,Lennon / 1968 / The Beatles
Devil in Her Heart,Harrison / 1963 / UK: With the Beatles US: The Beatles' Second Album,Harrison / 1963 / UK: With the Beatles US: The Beatles' Second Album
Dig a Pony,Lennon / 1969 / Let It Be,Lennon / 1969 / Let It Be
Dig It,Lennon / 1969 / Let It Be,Lennon / 1969 / Let It Be
"Dizzy, Miss Lizzy",Lennon / 1965 / UK: Help! US: Beatles VI,Lennon / 1965 / UK: Help! US: Beatles VI
